"","code","company_name"
"1",5457,"NORTH CHINA PHARMACEUTICAL, LIMITED"
"2",7568,"RAMSAY GENERALE DE SANTE SA"
"3",8960,"STADA ARZNEIMITTEL AG"
"4",9532,"MATERNUS-KLINIKEN-AG"
"5",10554,"ATHENS MEDICAL CENTER SA"
"6",11733,"TORRENT PHARMACEUTICALS LIMITED"
"7",12031,"INDOFARMA TBK PT"
"8",13114,"AMPLIFON SPA"
"9",16604,"TAKEDA PHARMACEUTICAL COMPANY LIMITED"
"10",16943,"JEIL PHARMA HOLDINGS INC"
"11",17040,"SUHEUNG CO LTD"
"12",17183,"HANDOK INC"
"13",17221,"ILDONG HOLDINGS CO LTD"
"14",17223,"IL-YANG PHARMACEUTICAL COMPANY LIMITED"
"15",17259,"GREEN CROSS HOLDINGS"
"16",17482,"DONG-A SOCIO HOLDINGS CO LTD"
"17",17730,"PHARMANIAGA BERHAD"
"18",25033,"RAMKHAMHAENG HOSPITAL PUBLIC COMPANY LIMITED"
"19",25941,"GSK PLC"
"20",28277,"ASTRAZENECA PLC"
"21",30055,"ASTRAZENECA PLC"
"22",46134,"BABYLON PUMP & POWER LTD"
"23",46775,"WOCKHARDT LIMITED"
"24",47463,"KOLMAR HOLDINGS CO LTD"
"25",47882,"VIBHAVADI MEDICAL CENTER PCL"
"26",47956,"CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED"
"27",48080,"MAHACHAI HOSPITAL PCL"
"28",48315,"TIANJIN TEDA BIOMEDICAL ENGINEERING COMPANY LIMITED"
"29",52000,"ZHEJIANG HISUN PHARMACEUTICAL, LTD."
"30",52331,"CHONGQING TAIJI INDUSTRY GROUP CO LTD"
"31",52365,"AVIC INDUSTRY FINANCE HOLDINGS CO LTD"
"32",52952,"XIAN QUJIANG CULTURAL TOURISM CO LTD"
"33",53088,"SHANGHAI JIAODA ONLLY CO., LTD."
"34",53089,"FAR EAST SMARTER ENERGY CO LTD"
"35",53251,"HAINAN HAIYAO COMPANY LIMITED"
"36",53253,"ZHEJIANG HUAMEI HOLDING CO LTD"
"37",53265,"BOHAI WATER INDUSTRY CO LTD"
"38",53383,"ANHUI FENGYUAN PHARMACEUTICAL"
"39",53626,"GPRO TITANIUM INDUSTRY CO LTD"
"40",53691,"JINHONG HOLDING GROUP CO LTD"
"41",53783,"ELION ENERGY CO LTD"
"42",65492,"PROBIOTEC LIMITED"
"43",67219,"WANBURY LTD"
"44",67364,"BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPORATION LTD"
"45",67371,"IND-SWIFT LIMITED"
"46",67541,"KERALA AYURVEDA LIMITED"
"47",68026,"DR. AGARWAL'S EYE HOSPITAL LIMITED"
"48",68089,"SHILPA MEDICARE LIMITED"
"49",69237,"FORTIS HEALTHCARE LIMITED"
"50",69411,"JW HOLDINGS CORPORATION"
"51",69952,"VITA 34 AG"
"52",70142,"RHINOMED LTD"
"53",70229,"QATARI GERMAN COMPANY FOR MEDICAL DEVICES QPSC"
"54",71084,"GENERAL BIOLOGICAL CORPORATION"
"55",71819,"MIRACULUM SA"
"56",73905,"MYUNGMOON PHARMACEUTICAL COMPANY LIMITED"
"57",99999,"NEW JOURNEY HEALTH TECHNOLOGY GROUP CO LTD"
"58",101586,"NEUCA SA"
"59",101652,"EMC INSTYTUT MEDYCZNY SA"
"60",103303,"MA KUANG HEALTHCARE HOLDING LIMITED"
"61",104266,"LIFE HEALTHCARE GROUP HOLDINGS LIMITED"
"62",104934,"REYON PHARMACEUTICAL CO LTD"
"63",105271,"GUANGDONG TAIANTANG PHARMACEUTICAL CO LTD"
"64",106963,"ASTEC LIFESCIENCES LIMITED"
"65",107357,"NAWALOKA HOSPITALS PLC"
"66",107686,"INTELGENX TECHNOLOGIES CORP."
"67",108260,"AQUA BIO TECHNOLOGY ASA"
"68",108404,"ALBUS A.D. NOVI SAD"
